a52dec 0.7.4-11
file-roller 3.42.0-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 105.0.1-1
flac 1.4.1-1
flatpak 1:1.14.0-1
flex 2.6.4-3
fluidsynth 2.2.9-2
font-manager-git 0.8.8.r3.gb31cf124-1
fontconfig 2:2.14.0-1
freeglut 3.2.2-2
freetype2 2.12.1-1
fribidi 1.0.12-1
fsarchiver 0.8.6-1
fuse-common 3.12.0-1
fuse2 2.9.9-4
fuse3 3.12.0-1
fzf 0.33.0-1
garcon 4.16.1-1
gawk 5.2.0-3
gc 8.2.2-1
gcab 1.5-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gconf 3.2.6+11+g07808097-10
gcr 3.41.1-2
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf2 2.42.9-1
geany 1.38-3
geoclue 2.6.0-2
geocode-glib 3.26.4-1
gettext 0.21-2
ghostscript 10.0.0-1
giflib 5.2.1-2
git 2.37.3-1
gksu 2.0.2-6
glib-networking 1:2.74.0-1
glib-perl 1.329.3-3
glib2 2.74.0-2
glibc 2.36-4
glibmm 2.66.5-1
glslang 11.11.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-bluetooth 3.34.5-4
gnome-disk-utility 42.0-1
gnome-keyring 1:42.1-1
gnome-screenshot 41.0+r25+g45f08f0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-netcat 0.7.1-8
gnupg 2.2.39-1
gnutls 3.7.7-3
gobject-introspection 1.74.0-1
gobject-introspection-runtime 1.74.0-1
google-chrome 105.0.5195.52-1
gpart 0.3-4
gparted 1.4.0-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-2
grep 3.8-2
groff 1.22.4-7
grub 2:2.06.r322.gd9b4638c5-4
grub-customizer 5.2.2-1
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsimplecal 2.4.1-1
gsm 1.0.22-1
gspell 1.10.0-2
gssdp 1.4.0.1-1
gssproxy 0.9.1-2
gst-libav 1.20.3-2
gst-plugins-bad 1.20.3-2
gst-plugins-bad-libs 1.20.3-2
gst-plugins-base 1.20.3-2
gst-plugins-base-libs 1.20.3-2
gst-plugins-good 1.20.3-2
gst-plugins-ugly 1.20.3-2
gstreamer 1.20.3-2
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:4.8.1-1
gtk2 2.24.33-2
gtk2-perl 1.24993-4
gtk3 1:3.24.34+r156+g812b3930d0-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.7-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
guile 2.2.7-2
